-----------------------------------------------------------
[  1] local 192.168.70.135 port 44966 connected with 12.1.1.187 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 105.0000-106.0000 sec  1.05 MBytes  8.80 Mbits/sec
[  1] 106.0000-107.0000 sec   256 KBytes  2.10 Mbits/sec
[  1] 107.0000-108.0000 sec  4.12 MBytes  34.6 Mbits/sec
[  1] 108.0000-109.0000 sec   230 KBytes  1.88 Mbits/sec
[  1] 109.0000-110.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 110.0000-111.0000 sec  1.17 MBytes  9.79 Mbits/sec
[  1] 111.0000-112.0000 sec   124 KBytes  1.02 Mbits/sec
[  1] 112.0000-113.0000 sec  1.75 MBytes  14.7 Mbits/sec
[  1] 113.0000-114.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 114.0000-115.0000 sec  1.41 MBytes  11.8 Mbits/sec
[  1] 115.0000-116.0000 sec  63.6 KBytes   521 Kbits/sec
[  1] 116.0000-117.0000 sec  2.43 MBytes  20.4 Mbits/sec
[  1] 117.0000-118.0000 sec   697 KBytes  5.71 Mbits/sec
[  1] 118.0000-119.0000 sec  1.87 MBytes  15.7 Mbits/sec
[  1] 119.0000-120.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  1] 120.0000-121.0000 sec   378 KBytes  3.10 Mbits/sec
[  1] 121.0000-122.0000 sec   767 KBytes  6.29 Mbits/sec
[  1] 122.0000-123.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 123.0000-124.0000 sec  2.72 MBytes  22.8 Mbits/sec
[  1] 124.0000-125.0000 sec   120 KBytes   982 Kbits/sec
[  1] 125.0000-126.0000 sec  2.43 MBytes  20.4 Mbits/sec
[  1] 126.0000-127.0000 sec  2.48 MBytes  20.8 Mbits/sec
[  1] 127.0000-128.0000 sec   123 KBytes  1.01 Mbits/sec
[  1] 128.0000-129.0000 sec  1.12 MBytes  9.44 Mbits/sec
[  1] 129.0000-130.0000 sec  2.11 MBytes  17.7 Mbits/sec
[  1] 130.0000-131.0000 sec   188 KBytes  1.54 Mbits/sec
[  1] 131.0000-132.0000 sec  2.49 MBytes  20.9 Mbits/sec
[  1] 132.0000-133.0000 sec   185 KBytes  1.52 Mbits/sec
[  1] 133.0000-134.0000 sec  2.87 MBytes  24.1 Mbits/sec
[  1] 134.0000-135.0000 sec   366 KBytes  3.00 Mbits/sec
[  1] 135.0000-136.0000 sec  1.12 MBytes  9.44 Mbits/sec
